ID,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1,Afghanistan,0,0,4,64,257,746,0,0
2,Armenia,0,0,3,32,131,443,0,0
3,Azerbaijan,0,0,5,24,63,213,0,0
4,Bahrain,0,0,4,8,19,87,0,0
5,Bangladesh,0,0,5,168,650,1847,0,0
6,Bhutan,0,0,0,0,0,0,0,0
7,Brunei,0,0,1,1,2,3,0,0
8,Bulgaria,0,0,8,66,140,230,0,0
9,Burma,0,0,1,6,6,6,0,0
10,Cambodia,0,0,0,0,0,0,0,0
11,China,213,2837,3309,4637,4638,4641,0,0
12,Cyprus,0,0,8,15,17,19,0,0
13,Georgia,0,0,0,6,12,15,0,0
14,Greece,0,0,49,140,175,192,0,0
15,India,0,0,35,1154,5408,17400,0,0
16,Indonesia,0,0,136,792,1613,2876,0,0
17,Iran,0,43,2898,6028,7797,10817,0,0
18,Iraq,0,0,50,93,205,1943,0,0
19,Israel,0,0,20,222,285,320,0,0
20,Japan,0,5,56,430,898,972,0,0
21,Jordan,0,0,5,8,9,9,0,0
22,Kazakhstan,0,0,2,25,40,188,0,0
23,Kuwait,0,0,0,26,212,354,0,0
24,Kyrgyzstan,0,0,0,8,16,61,0,0
25,Laos,0,0,0,0,0,0,0,0
26,Lebanon,0,0,12,24,27,34,0,0
27,Malaysia,0,0,43,102,115,121,0,0
28,Maldives,0,0,0,1,5,9,0,0
29,Mongolia,0,0,0,0,0,0,0,0
30,Nepal,0,0,0,0,8,29,0,0
31,North Korea ,0,0,0,0,0,0,0,0
32,Oman,0,0,1,11,49,176,0,0
33,Pakistan,0,0,27,417,1543,4395,0,0
34,Papua New Guinea,0,0,0,0,0,0,0,0
35,Philippines,0,1,88,568,957,1266,0,0
36,Qatar,0,0,2,10,38,113,0,0
37,Russia,0,0,17,1073,4693,9306,0,0
38,Saudi Arabia,0,0,10,162,503,1649,0,0
39,Singapore,0,0,3,15,23,26,0,0
40,South Korea,0,16,162,248,271,282,0,0
41,Sri Lanka,0,0,2,7,10,11,0,0
42,Syria,0,0,2,3,5,9,0,0
43,Tajikistan,0,0,0,0,47,52,0,0
44,Thailand,0,0,10,54,57,58,0,0
45,Turkey,0,0,214,3174,4540,5131,0,0
46,Turkmenistan,0,0,0,0,0,0,0,0
47,United Arab Emirates,0,0,6,105,264,315,0,0
48,Uzbekistan,0,0,2,9,15,26,0,0
49,Vietnam,0,0,0,0,0,0,0,0
50,West Bank and Gaza,0,0,1,2,3,8,0,0
51,Yemen,0,0,0,2,80,312,0,0
